"SAT I: 1480 (760M, 720RW)",GPA (UW/W): 3.9 ,"Jackson Laboratory Achievement Award (1st place in state health app competition)

Junior Achievement Award (State finalist for AI Innovation pitch)

QuestBridge College Prep Scholar

AP Scholar Award","Family responsibilities (my biggest commitment): household management, cleaning, cooking, errands, chores, and taking care of siblings.

Machine Learning & AI: building apps and projects solo/team (ex. 1st place state health app, regional AI lawyer pitch).

Independent STEM learning: self-studied multivariable calculus, linear algebra, statistics, physics, and applied concepts to projects.

Video editing for entrepreneurial pitches and competitions: often linked to my AI/ML work and sometimes just for fun.

Calisthenics: skills training (sometimes with peers) like splits, planche progressions, pistol squats, and one-arm pushup work."
"SAT I: 1460 (740M, 720RW)",GPA: 3.72 UW,"Senior Year Course Load: AP United States Government and Politics, Health, Honors 

English 4 (Dual Enrollment), 

AP Statistics, Creative Writing,

AP English Language and Composition,

AP Art","Varsity Bowling (4 years; Captain [senior]): Regional Runner-up (2023); Regional Champion (2024, 2025); DII Girls' Bowling State Champion (2025)

Literary Art Magazine (3 years; public relations [junior], Art Editor [senior])

YMCA Youth in Government (3 years; White Chamber Senator [sophomore], Red House Representative [junior])

Hispanic Student Organization (4 years; Co-president [senior])

Cheese Club (2 years; founder/ president [junior, senior]

150+ hours of community service/ volunteer work at multiple non-profits"
"SAT: 1500 (750RW, 750M)",GPA (UW/W): 4.0,"FBLA Nationals 8th Place - 11th grade

QuestBridge College Prep Scholar - 11th grade

Mock trial county champion - 11th grade

AP Scholar w/ Distinction - 11th grade","Mock trial - school co-president, ~6 hours/week, 2x state finalist/county champion

FBLA - school VP of competitions, ~6 hours/week, 8th place at nationals + 2nd place at CA state my junior year

District attorney's office summer internship - ~20 hours/week, collaborated with prosecutors preparing for misdemeanor cases in court

NHS - school president, ~2 hours/week

Gilder Lehrman Institute Student Advisory Council - ~1 hour/week"
"SAT I: 1580 (780RW, 800M)",GPA (UW/W): 4.00,"National Merit Semifinalist

AP Scholar w/ Distinction","Math Club President

Science Club team captain

Varsity Athlete (not recruited)

Paid Academic Internship

DECA ICDC qualifier"
"SAT I: 1580 (780RW, 800M)",GPA (UW/W): 4.0,"6x AIME (after cutoffs released so 5x when apps where due), AMC10 DHR, HR

BBO Gold, USABO 2x HM :(( i trolled too much on this

Math modeling competition awards (pretty decent)

National cybersec awards

More cybersec awards","Prestigious selective summer research program (think BU RISE Intern/Garcia/RMP)

Internship at t25 in comp bio in niche topic 

Internship at federal agency in same niche topic 

Research w/ Wolfram 2x - 1) same niche topic and 2) other comp bio topic

Co-founder of nonprofit w/ reach across the country; impacted >30,000 attendees and raised a lot of money"
"1540 SAT (750 eng, 790 math)",GPA 4.0,"NCTE writers award, superior (international)

ACSI writing award, notable superior (international)

AP International Diploma

3,500 Pounds scholarship from Immerse Essay Competition (global)

ACSI DCHSS","Service Project – Nursery Renovation (1.7k dollars Fundraised) (11-12)

Theater & Dance Leadership (9-12)

Founder & Leader – High School Dance Club (10-12)

Chief Editor – The Quill (School Magazine) (11-12)

Chapel + School Events Coordinator ((9, 11-12)"
SAT: 1550 (780M / 770R),GPA: 3.92 UW,"Research poster at national conference (didn't win awards)

PVSA Gold

AP Scholar w/ Distinction

Some local/state science and school leadership awards","Founded a student research org connecting HS students with medical research mentors; ran workshops and helped students submit abstracts

Research intern at a university lab (neuroscience related); contributed to abstract + poster that was later presented at a conference

Bibliometric analysis research in neurodegenerative disease with organization; second authorship of poster, abstract, and oral presentation

Physician shadowing (IM + neurology)

President of Science Olympiad"
"SAT 1130  (640 math, 490 r&w)",GPA (UW/W): 4.00,"Valedictorian

PVSA Gold

PVSA Silver

AP Scholar","President of Computer Science Honor Society

President of Computer Science Club

Vice President of AASU (African American Student Union)

Student Council Vice President + Executive

Volunteer at CS Tutoring nonprofit for under-resourced high schools w/ 300+ volunteering hours

UNICEF Student Representative"
"SAT: 1530 (740 RW, 790 M)",GPA (UW/W): 3.8 ,"National youth excellence recognition

Made national camp in my country (top 50) for International Economics Olympiad

Top 50 intl business case comp

Another National youth award for ec 1

School subject award","Partnered with an existing ngo, raised 20k, impacting 1k kids

Worked on organizing team for finance conference, 20k attendees, Fortune 500 executives and government speakers

Cultural event planning, 10k attendees

Econ club, partnered with billion-dollar firm

Finance Internship

Business, 15k revenue

Volunteering

TikTok, 30m views, 40k followers"
"SAT: 1450 (740 M, 710 RW)

",GPA (UW/W): 3.9,AP Scholar,"Tutoring college students, y'all know me
FTC Robotics
Latin Honors Society"
SAT: 1520 (750 RW 770 M),GPA: 3.96 UW,"Rural/Small Town Recognition (College Board)

AP Scholar with Distinction

Bausch+Lomb Honorary Science Award","Odyssey of the Mind: 10-12

*Rho Kappa: 11-12, President 12

*NHS: 11–12, VP 12

*Varsity XC: 10-12

*StuCo: 10-12"
"SAT I: 1520 (740 RW, 780 M)",GPA (UW/W): 4.0,"CyberPatriot Top 10 Open Gold Division Semifinals Round

3rd Place at College Level Cybersecurity Competition (Won $500 in a team of 3)

National Merit Commended Student

AP Scholar with Distinction

Outstanding Student in Cybersecurity","Cashier at family restaurant - I work 10-15 hours weekly during the school year on weekends and 25-30 hours weekly during the summer.

Owner of online Discord community server with 90,000+ members

Quiz Bowl Member

Symphonic Band 2nd Chair Bb Clarinet - The band received 3 Superior ratings on all 3 prepared pieces and a Superior rating on our sight reading piece at our local band festival.

National Technical Honor Society Member

BigFuture Ambassador"
"SAT I: 1500 (720 RW, 780 M)",GPA 3.9 UW,"Dean's Award School (Community building award at school, only one per year), 
Scholastic Gold Key,
United States Youth Senate Program Nominee,
Academic High Honors,
AP Scholar w/ Distinction","Debate/Speech 10
Internship 12 Break 10 hr/wk
Social Justice 9, 10, 11 Year 1 hr/wk"
"SAT: 1510 (800RW, 710M)",GPA (W): 3.97,"First Place @ Large Regional (European) Debate Comp

History Bee Awards (Champion in JV Bee & Varsity Bowl)

QuestBridge College Prep Scholar & National College Match Finalist

Scholar for a conservatory scholarship that funds my piano studies.","3-Yr President of DEI Committee, led strategic goals, teacher workshops, inclusive curricula, weekly meetings.

Student Council Co-President, represented 600+ students, manage & fundraise $20,000 budget, organise events, liaise with admin.

History Bee & Bowl, organised, trained, and lead 4 JV and Varsity teams, planned & hosted tournaments etc.

Debate Team Captain, teaching 20+ students various styles of debate & planning tournaments.

Conservatory-Level Piano, classically-trained pianist, 10+ years, 3 yrs jazz improv, music theory, interned at one of Europe's largest opera houses.

MUN 4-Yr Delegate"
"SAT: 1450 (740 M, 710 RW)
",GPA: 3.97 UW,"Ambassador at National Federation of High School Sports Summit

City Wrestling Champion 3x

AP Scholar","Legal Advocacy/Hispanic Culture Club (2 yrs): Co-President, testified in state general assembly, invited to summit by Secretary of Education in 2024, worked on advocacy to change education policy, led workshops and cultural events

Youth Ambassador for United State Dept. of State: Cultural/service exchange program in Latin America

Varsity Wrestling: 4 yrs, Captain 2 yrs, 3x City champion, 2x school mvp

Community Service: Meals on Wheels program"
"SAT: 1510 (800RW, 710M)",GPA (UW/W): 3.90,"Neuroscience Research Innovation Award

Culinary Arts and Cultural Preservation Award

Cognitive Science Olympiad Achievement Award

Mental Health Advocacy Leadership Award","Brain-Computer Interface Research Assistant. Assisted senior researchers in developing and testing a novel brain-computer interface. Conducted literature reviews, analyzed EEG data, and presented findings at a regional neuroscience conference, contributing to a 15% improvement in the interface's accuracy.

Multicultural Food Festival Organizer. Spearheaded a school-wide multicultural food festival showcasing diverse cuisines. Recruited 20+ student chefs, managed logistics, and raised $500 for the local food bank, fostering cross-cultural understanding among 300+ attendees."
"SAT: 1540 (840RW, 700M",4 GPA,"Pianist for 12 years, have a significant amount of international and national awards, involved in Broadway orchestras and similar ones

Internship at a local private equity firm, created official investor decks and attracted clients.

Junior Executive Board Officer at a NPO, created a music program for Ukranian refugees, organized events with senior homes","2 business-oriented summer programs, won a strategy competition in one of them

Travel and scenery photographer, 5,000+ followers on Instagram

President of a student-led community service club, donated over 2,000 pounds of food and ~200 gift boxes

SAT tutor for 20+ students"
"SAT: 1530 (740 RW, 790 M)",GPA (UW/W): 4.0,"U.S. Physics Olympiad Semifinalist (probably strongest award)

Jazz Band Cultural Fusion Award (tied this well into my essays)

Soccer Team Most Valuable Player (lol)

Some other smaller merit awards","Robotics Club. Led a team of 25 students in designing and building robots for regional competitions. Secured $500 in funding through grant writing, increasing the club's budget by 25%. Improved robot performance scores by 30% through innovative programming and design modifications.

Science Olympiad Team. Captained the school's Science Olympiad team, achieving 2nd place in the regional competition. Mentored 10 new members, increasing team participation by 40%. Specialized in physics-related events, scoring in the top 10% at the state level."
"SAT I: 1540 (750RW, 790M)",GPA (UW/W): 3.94,"Orchestra Director's Award (11th)

Scholastic Art & Writing Award Gold Key & American Voices Nominee (10th)

1st Place Instrumental Music: Classical and 1st Place Written Poetry @ District-level ACT-SO (11th)

National African American Recognition Program (11th)

HOSA Bronze Barbra James Service Award (10th)","School Orchestra (9th-12th; 4.5hr/wk, 35wk/yr) - President (12th), Vice Pres (11th); ""Directing [#] students by leading rehearsals, individually guiding, and organizing concerts; earned Director's Award and Superior District Solo""

Local External Youth Orchestra (11th-12th; 3.25hr/wk, 25wk/yr) - 2nd Chair Contrabassist; ""Led [#] other bassists in the highest youth orchestra by educating them on technique, making piece decisions, and performing with [regional professional orchestra]""

Creative Writing Club (11th-12th; 3hr/wk, 20wk/yr) - President & Founder; ""Founded local writing community by organizing meetings, creating competitions, advertising events, & doing peer reviews to foster well-rounded pupils""

School MUN (10th-12th; 2.5hr/wk, 41wk/yr) - Treasurer (11th-12th); ""Tracking payments, creating deadlines, & contacting members to manage club finances and conference registrations; 3rd place delegate at [regional conference]"""
"SAT I: 1560  (770RW, 790M)",GPA (UW/W): 4.0,"U.S. Physics Olympiad Semifinalist (probably strongest award)

Jazz Band Cultural Fusion Award (tied this well into my essays)

Soccer Team Most Valuable Player (lol)

Some other smaller merit awards","Robotics Club. Led a team of 25 students in designing and building robots for regional competitions. Secured $500 in funding through grant writing, increasing the club's budget by 25%. Improved robot performance scores by 30% through innovative programming and design modifications.

Science Olympiad Team. Captained the school's Science Olympiad team, achieving 2nd place in the regional competition. Mentored 10 new members, increasing team participation by 40%. Specialized in physics-related events, scoring in the top 10% at the state level.

Community Spanish Tutoring. Provided weekly Spanish tutoring to 15 elementary school students from low-income families. Improved students' Spanish proficiency by an average of one grade level within six months. Developed customized lesson plans tailored to individual student needs.

School Jazz Band. Performed regularly with the school's jazz band at school events and local festivals. Introduced Latin rhythms into the band's repertoire, enriching the musical diversity. Led the percussion section, improving the band's overall rhythmic precision."
"1510 SAT (720 RW 790 Math)
",GPA (UW/W): 4.0,"PVSA Gold (11th grade)

[state] SkillsUSA Healthcare Knowledge Bowl – Bronze (10th grade)

[ZZZ town organization] scholarship $500 (11th grade)

[state] FBLA State Qualifier Healthcare Administration (11th grade)

[state] HOSA 8th Place (10th grade)","School Math League Secretary (12th), Officer (11th)

School Newspaper Club Editor in Chief (12th), Editor (11th)

Cashier at [XXX] (9th, 10th, 11th, 12th)

Work at Kumon (11th, 12th)

Volunteer at [ZZZ town organization] (9th, 10th, 11th, 12th)

"
"SAT I: 1480 (760RW, 720M)

",GPA (UW/W): 4.0,"Outstanding Contribution to Neuroscience Research Volunteering (UCLA)

Vietnamese-American Cultural Ambassador Recognition (state)

Academic Excellence in Multicultural Studies (national)

Debate award","Assisted Dr. Emily XXXX at UCLA's Anthropology Department, focusing on urban cultural studies. Conducted interviews with 50+ Vietnamese-American families in Little Saigon, analyzed qualitative data to identify cultural preservation patterns, and presented findings at a regional anthropology conference. Enhanced research skills and cultural understanding.

Founded a choir program at a local convalescent home, teaching residents songs from various cultures. Led weekly sessions, improving residents' emotional well-being, memory, and social interaction. Organized monthly performances that increased resident engagement by 40% and fostered intergenerational connections.

Spearheaded a peer mentoring program at school, providing emotional support and guidance to freshmen struggling with mental health issues. Organized weekly group sessions focused on stress management and coping mechanisms, resulting in a 30% decrease in reported anxiety among participating freshmen.

Created and led ""Dance for Dialogue,"" a series of dance workshops for underprivileged youth at the local community center. Used dance as a medium to explore cultural identity, promote self-expression, and build confidence. Organized a final performance showcasing the participants' talents to over 100 audience members."
"SAT I: 1560 (770RW, 790M)", ⁠GPA (UW/W): 99.18/100,"Student government (9)

⁠TA at local language school (11,12)

⁠MUN secretariat (9,12)

⁠Founder of medical club (11,12)

⁠Leading flutist of school band (9)

⁠Founder of multicultural club (10,11,12)","Student government (9)

⁠TA at local language school (11,12)

⁠MUN secretariat (9,12)

⁠Founder of medical club (11,12)

⁠Leading flutist of school band (9)

⁠Founder of multicultural club (10,11,12)"
"SAT I: 1530 (760RW, 770M)",GPA: 3.93 UW,"Biology Merit Award

Physics Merit Award

High Honors Achievement award (All 4 years)","Musician and record label owner

Wrestling Captain

Track and field Captain

President of Bowling Club

Volunteering helping elderly with solar panels

Restoration work of a corvette

Class Clown"
"SAT I: 1510 (740RW, 770M)",GPA: 4.0 UW,None,"volunteering at hospital

they don't really have ECs internationally, especially not back then"
"SAT I: 1500 (720 RW, 780 M)",GPA: 3.8 UW,"AP Gov

AP Lang, AP Comp Sci, AP Stat, APES 

Sophomore: AP Physics, AP World 

Freshman: AP Human Geo","Wharton Global High School Investment Competition – team member 

Created a stock price prediction app (Python, yfinance, pandas, scikit-learn, matplotlib)

FBLA member • Sports Editor, school newspaper 

Outreach Lead, Robotics Team – team won Connect Award "
"SAT I: 1510 (750 RW, 760 M)",GPA (UW/W): 3.98,"2 Gold Medals (National Latin Exam), 1 Silver Medal

2 Silver Medals (National Roman History Exam)

1 Silver Medal (National Etymology Exam)","Certamen Team (founded a Classical trivia team that made it to semi’s at Yale, UPenn, and Princeton competitions)

Latin Honors Society VP

Latin Club President

Art Honors Society Officer

Art Club Officer"
"T I: 1550 (770RW, 780M)",GPA (UW/W): 4.0,Nothing of note,"List all extracurricular involvements, including leadership roles, time commitments, major achievements, etc."
" SAT: 1450 (720RW, 730M)",GPA (UW/W): 3.7,"9 APs:

5 on Bio, Stats, CS A, HumGeo

4 on Calc BC, Both Englishes, Euro, and Physics 1","Running one of the largest inter-school Hackathon in the Northern Emirates

Research Paper done with high ranking officials on Economic Decisions, created a prediction + regression model

Non Profit Organisation: Promoted from Volunteer to Head, organised food for labour workers (1500+)

Digital Banking internship at StateOwned Bank

Shadowing Experience with Engineers working on Private Planes"
SAT: 1530 (790 M/740RW),GPA (UW/W): 3.9,"5x aime, was very close to usamo rip (still crashing out abt this help)

poster at symposium + oral at seminar + 2nd author pub (lowk a shitty journal by IF but peer reviewed/credible ofc) from EC #1

5 published case reports (1st author) in cureus, got the cases from an intl rads doctor and he let me write them up

1st author paper in review (mid journal) from EC #4

scioly state awards (1st many times over the years, never went to nattys tho ","Sport - broke a bunch of really old school records (not recruited though), basically self coached but still a team captain

STEM senior elective research project: (not with a college Prof nor published) super niche - made TXSEF though

Policy debate - joined as a senior, made state and had a really good record

UIL Academic competitions - STEM events - 8x regional qualifier but never made it past that

Founded a chapter of Science Natl Honor Soc with a few friends, we only had like 20 members though

Math and Regular National Honor Soc for 2 years"
SAT: 1520 (750 RW 770 M),GPA (UW/W): 4.0,"Grand Prize Winner for a statewide concerto competition across all instruments, won $1k and a solo with my state symphony orchestra

1st Chair All-State clarinet for 2 years in a row (10th & 11th grade)

1st Prize for a Southeast Asia Mathematics Olympiad

National Merit Semifinalist

National Youth Orchestra 2 Alternate","1st Chair Wind Ensemble (2 years): Marching Band & Wind Ensemble Soloist ('24, '25 & '26), Outstanding Sophomore Musician '24; Outstanding Wind Ensemble Member '25

Hourly research assistant at my local university's robotics lab, where I developed UI/UX and other software for interfacing w/ robots

Webmaster & web designer on the global executive board for a 501(c)(3) nonprofit

Competitive programming captain, won 3rd place at a small regional competition

Varsity XC & Track Runner: 3x state qualifier"
"SAT: 1480 (740 RW, 740 M)
",GPA: 3.8 UW,"Summer Startup Pitch Competition - 3rd place

Governor’s Scholar Program

AP Scholar with Distinction

Seal of Biliteracy for Vietnamese

HOSA SLC - Job Seeking Skills 2nd","Founded Nonprofit supporting Vietnamese American Youth. Taught 100+ kids weekly for 5+ years dance and language showcasing talents across state. Raised 10k to support cause.

Key Club District Bulletin Editor. Directed communication for 5000 students across 150 high schools; managing / Designing social media & websites.

Asian Student Community President, Largest in State

Key Club President - 200+ members with 2500+ hours of community service.

Class Treasurer - Manage 20k in funds, elected against 30 others"
"SAT: 1540 (800M, 740RW)",GPA: 3.92 UW,"Research poster at national conference (didn't win awards)

PVSA Gold

AP Scholar w/ Distinction

Some local/state science and school leadership awards","Founded a student research org connecting HS students with medical research mentors; ran workshops and helped students submit abstracts

Research intern at a university lab (neuroscience related); contributed to abstract + poster that was later presented at a conference

Bibliometric analysis research in neurodegenerative disease with organization; second authorship of poster, abstract, and oral presentation

Physician shadowing (IM + neurology)

President of Science Olympiad

AP Biology TA / peer tutor"
"SAT: 1450 (740 M, 710 RW)",GPA: 3.9 UW,"AP Scholar, etc.","FTC Robotics

Two teams, captain of both, mentored the freshies, y'all feel me??

Latin Honors Society

Be doing that volunteer stuff, heh, Flavia est Puella, some shenanigans"
SAT I: 1590 (800M/790RW),GPA: 4.0 UW,"Several state-level robotics awards, qualified for Vex worlds for the first time in the history of my school

AIME qualifier (3x), 1st place in my district in a math competition in 10th grade. USAMO index of 233.5.

School award for best math student (10,11), first 10th grader to win the award in the history of the school

Several state-level science team awards

2x Bronze medal and 1x Gold medal on the National Spanish Exam","Senior Class Rep (10,11,12)

Robotics Team: Programming Lead and Co-Captain (9,10,11,12)

Paid software engineering internship at music tech/AI startup (12)

380 hours of volunteering doing IT for my church (9,10,11)

Paid 1099 contractor doing web design (12)

Made an open-source music production software (10,11)

Worked at a movie theater (9, 10)"
"1510 SAT (720 RW 790 Math)
",91.447/100 GPA,"PVSA Gold (11th grade)

[state] SkillsUSA Healthcare Knowledge Bowl – Bronze (10th grade)

[ZZZ town organization] scholarship $500 (11th grade)

[state] FBLA State Qualifier Healthcare Administration (11th grade)

[state] HOSA 8th Place (10th grade)","School Math League Secretary (12th), Officer (11th)

School Newspaper Club Editor in Chief (12th), Editor (11th)

Cashier at [XXX] (9th, 10th, 11th, 12th)

Work at Kumon (11th, 12th)

Volunteer at [ZZZ town organization] (9th, 10th, 11th, 12th)

Shadower at [AAA doctor's office] (12th)"
FAT 1540,GPA (UW/W): 4.0,"QuestBridge Finalist

CyberPatriot - 2nd Place Gold Tier (State)

PicoCTF - Top 8% Globally

Science Olympiad - Regionals 3rd Overall, 1st Electric Vehicle

College Prep Scholar

Best of School - Cyber

Best of School - AP Lit","National Lab - Cybersecurity research intern, 2 summers

Cybersecurity Club - President (10-12)

Robotics Club - VP (10-12)

Science Olympiad - Co-President (11-12)

Key Club - 140+ volunteer hours

Work - Chick-fil-A, 16-20 hrs/week (only 1 year)

CompTIA certifications (A+, Network+, Security+)"
1340 SAT ,GPA (UW/W): 4.0 UW,"9th best speaker in World Schools Debate at the 2025 NSDA National Debate Tournament.

National Speech and Debate Association (NSDA) Academic All-American Award (2x)

National Federation of High School Associations High Academic Honors. (2x)

MVP of Debate Award. (2x)

Wolfie Award (Leadership award handed out to 20 out of 1500 students) (In hindsight, this is highkey so lame lmao)","Speech and Debate: Won numerous tournaments; all-state twice (Top 4 at state). Placed 9th and 5th at nationals. I was essentially an assistant coach for our policy debate squad, where I helped teach novices and write arguments for our team. The majority of my time at practice was devoted to helping my teammates. I also serve as debate's representative for our activities council (Our school's version of ""team captain""). Speech and debate has undoubtedly shaped me into the person I am today, and is by far my most valued activity and the one I am most proud of.

Worked as a manager of an ice cream shop for two years.

DECA: Chapter president, Won 2 state championships; qualified for international competition twice. Created a mentor program for newcomers.

Senior class president"
"SAT I: 1480 (760M, 720RW)",GPA: 4.0 UW,"Jackson Laboratory Achievement Award (1st place in state health app competition)

Junior Achievement Award (State finalist for AI Innovation pitch)

QuestBridge College Prep Scholar

AP Scholar Award","Family responsibilities (my biggest commitment): household management, cleaning, cooking, errands, chores, and taking care of siblings.

Machine Learning & AI: building apps and projects solo/team (ex. 1st place state health app, regional AI lawyer pitch).

Independent STEM learning: self-studied multivariable calculus, linear algebra, statistics, physics, and applied concepts to projects.

Video editing for entrepreneurial pitches and competitions: often linked to my AI/ML work and sometimes just for fun."
"SAT: 1500 (750RW, 750M)",GPA (UW/W): 4.0 UW,"FBLA Nationals 8th Place - 11th grade

QuestBridge College Prep Scholar - 11th grade

Mock trial county champion - 11th grade

AP Scholar w/ Distinction - 11th grade","Mock trial - school co-president, ~6 hours/week, 2x state finalist/county champion

FBLA - school VP of competitions, ~6 hours/week, 8th place at nationals + 2nd place at CA state my junior year

District attorney's office summer internship - ~20 hours/week, collaborated with prosecutors preparing for misdemeanor cases in court

NHS - school president, ~2 hours/week

Gilder Lehrman Institute Student Advisory Council - ~1 hour/week"
SAT I: 1560,GPA (UW/W): 4.0,"U.S. Physics Olympiad Semifinalist (probably strongest award)

Jazz Band Cultural Fusion Award (tied this well into my essays)

Soccer Team Most Valuable Player (lol)

Some other smaller merit awards","Robotics Club. Led a team of 25 students in designing and building robots for regional competitions. Secured $500 in funding through grant writing, increasing the club's budget by 25%. Improved robot performance scores by 30% through innovative programming and design modifications.

Science Olympiad Team. Captained the school's Science Olympiad team, achieving 2nd place in the regional competition. Mentored 10 new members, increasing team participation by 40%. Specialized in physics-related events, scoring in the top 10% at the state level.

Community Spanish Tutoring. Provided weekly Spanish tutoring to 15 elementary school students from low-income families. Improved students' Spanish proficiency by an average of one grade level within six months. Developed customized lesson plans tailored to individual student needs.

School Jazz Band. Performed regularly with the school's jazz band at school events and local festivals. Introduced Latin rhythms into the band's repertoire, enriching the musical diversity. Led the percussion section, improving the band's overall rhythmic precision.

Also interned at a local tech company and did research at a local uni"
"SAT I: 1540 (750RW, 790M)",GPA (UW/W): 3.94,"Orchestra Director's Award (11th)

Scholastic Art & Writing Award Gold Key & American Voices Nominee (10th)

1st Place Instrumental Music: Classical and 1st Place Written Poetry @ District-level ACT-SO (11th)

National African American Recognition Program (11th)

HOSA Bronze Barbra James Service Award (10th)","School Orchestra (9th-12th; 4.5hr/wk, 35wk/yr) - President (12th), Vice Pres (11th); ""Directing [#] students by leading rehearsals, individually guiding, and organizing concerts; earned Director's Award and Superior District Solo""

Local External Youth Orchestra (11th-12th; 3.25hr/wk, 25wk/yr) - 2nd Chair Contrabassist; ""Led [#] other bassists in the highest youth orchestra by educating them on technique, making piece decisions, and performing with [regional professional orchestra]""

Creative Writing Club (11th-12th; 3hr/wk, 20wk/yr) - President & Founder; ""Founded local writing community by organizing meetings, creating competitions, advertising events, & doing peer reviews to foster well-rounded pupils""

School MUN (10th-12th; 2.5hr/wk, 41wk/yr) - Treasurer (11th-12th); ""Tracking payments, creating deadlines, & contacting members to manage club finances and conference registrations; 3rd place delegate at [regional conference]"""
SAT I: 1500,GPA (UW/W): 3.89,"PVSA Gold

RIT Award

AP Scholar w Distinction

National Merit Commended

Local business award for entrepreneruship","Non Profit : raised 25k partnerships as well and featured on the news

Non Profit 2: raised 1500 few partnership less impact

Website: made a website on the same niche as EC1 partnered with like 5 universities

Intern at a family office investment firm

research at a t20

research at a t200

rest were like leadership for clubs and cultural organizations"
SAT I: 1520,GPA (UW/W): 4.00 UW,"AP Scholar w/ Distinction

Principal’s Award (school-wide award, gpa-based)

Artwork featured at district art gallery

$100 stipend for finding a game bug (not really an award but I legitimately had nothing else to add lmao)","This was definitely one of the weaker components of my application. I held no leadership in school, and I was really only apart of 1 club all throughout high school. I didn’t do any fancy summer programs (like MITES, SSP, etc), research, internships, etc., so I am really an outlier from everyone else here. Summary: Roblox game developer w/ 50k+ players, Independent study and translation of [redacted, philosophical/religious texts], Co-Founder of an online e-sports community, YT channel with less than 1k subs, and CSF (California Scholarship Federation) club member at my school. I also worked at a restaurant outside of school to help the family pay bills, and I had other family responsibilities that I mentioned in my QB app that I'd rather not divulge."
SAT: 1510,GPA (UW/W): 3.45,"Worldwide 8th Place Overall Finish at [INTERNATIONAL OLYMPIAD]

International Research Finalist, Paper on [ACADEMIC TOPIC]

Presented at National Conferences, Invitation to Speak at 2024 [CONFERENCE]

Nationally Certified and Professionally Licensed in [SKILL] and [SOFTWARE]

2022 International [ACADEMIC] Competition, 3rd Place","Represented USA at [INTERNATIONAL OLYMPIAD]

Published Researcher in [MULTIPLE ACADEMIC SUBJECTS]

Indian Classical (Carnatic) Violinist 

Developer of [ML MODEL] and did research on an applied subject 

Founder of [REDACTED], a storytelling blog

Author of [REDACTED], an analysis book

Creator and Developer of [REDACTED], a web-based game

Software Engineering Intern at [STARTUP]"
"SAT: 1500 (750RW, 750M)",GPA (UW/W): 4.0,"Performed at a national music conference

Math competition 2nd place (team)

Local scholarship

3X region orchestra","Leadership in music non-profit (originally a member but got promoted)

Leadership in another music non-profit

Concertmaster of pit orchestra in school musical

Section leader in competitive youth orchestra

CFO of mock business in summer program"
SAT: 1420,GPA: 3.92 UW,"Winner – Codefinity Mathematics Hackathon (National)

**Second Runner-Up – National Cyber Olympiad (**National)

Winner – Web Development Competition (UTC) (State/Regional)

Student of the Year – CBM College

Selected for Rising Leader program (3% acceptance national)","Co-founder & Lead Designer – DG Lytix
Built online presence for 10+ businesses; created 25+ high school internships.

• Vice President – CBM College Tech Club
Led 150+ members, organized 11 tech events, including a Microsoft flagship event & web-dev boot camp.

• Digital Marketing Intern – CBM College
Produced 30+ TikToks (10M+ views); gained 7k followers in 60 days; revamped college website.

• Digital Marketing Intern – Bhoj Deals Nepal
Worked on 5+ campaigns; helped drive 35% engagement increase.

• Interact Club of Kathmandu (IT Team → Mentor)
Led design workshops for 100+ students; mentored 30+ members.

• Organizing Committee – The Runway Career Connect
Managed marketing for Nepal’s largest mentorship event (4M+ views; 8,000+ participants)."
